이름,레벨,푼 문제 번호,푼 문제의 레벨,unrated,bronze,silver,gold,platinum,diamond,ruby
이은서,10,"[2303, 7789, 1172, 1040, 17214, 6498, 1125, 23970, 1111, 15505, 3986, 20004, 9497, 24031, 20561, 16162, 24909, 15650, 5025, 25016, 18169, 14612, 20560, 19949, 11385, 27735, 28305, 25388, 3448, 4539, 14906, 14899, 28383, 22973, 4307, 25427, 20915, 1626, 20656, 17270, 17132, 13313, 10723, 4160, 11054, 12834, 14906, 13257, 25691, 3584]","[6, 4, 24, 19, 11, 12, 17, 12, 13, 20, 7, 7, 18, 18, 27, 7, 0, 8, 18, 21, 0, 7, 18, 9, 22, 24, 14, 26, 5, 5, 12, 25, 16, 9, 10, 11, 9, 22, 29, 13, 16, 15, 13, 16, 12, 12, 12, 13, 11, 12]",2.0,3.0,10.0,16.0,10.0,6.0,3.0
하시우,6,"[23034, 9278, 14462, 11497, 5009, 28109, 8985, 16128, 20659, 11881, 25956, 17384, 14881, 24336, 23253, 14847, 6612, 1158, 22950, 12021, 2929, 16895, 13325, 18862, 25550, 13262, 25796, 16988, 25209, 19648, 23826, 20917, 1089, 6591, 17939, 15682, 16906, 1901, 13544, 13250, 3197, 14741, 25346, 24270, 10807, 3094, 2908, 12925, 12984, 7567]","[16, 12, 13, 10, 20, 12, 19, 21, 26, 12, 10, 16, 12, 10, 6, 17, 14, 7, 5, 9, 5, 17, 13, 22, 7, 20, 15, 13, 17, 18, 7, 12, 12, 8, 10, 21, 16, 19, 18, 12, 16, 23, 11, 12, 1, 0, 4, 20, 0, 4]",2.0,5.0,10.0,14.0,14.0,4.0,1.0
김은영,2,"[26157, 3977, 10825, 3245, 11952, 15954, 2755, 14255, 18829, 18310, 20328, 21610, 1368, 11123, 23631, 20297, 9987, 19949, 17825, 6989, 12817, 11414, 16128, 2237, 17617, 16682, 11277, 1561, 13700, 24269, 14502, 8875, 1743, 1126, 16566, 22855, 1159, 13122, 1858, 17213, 2363, 18187, 26068, 18934, 2871, 25795, 11668, 5580, 6568, 12762]","[18, 17, 7, 0, 14, 10, 5, 18, 0, 8, 18, 11, 14, 9, 10, 21, 0, 9, 14, 18, 16, 15, 21, 17, 23, 21, 10, 14, 10, 15, 12, 20, 10, 18, 16, 19, 4, 25, 16, 9, 13, 9, 2, 27, 14, 12, 17, 15, 11, 12]",3.0,3.0,11.0,14.0,13.0,5.0,1.0
문옥자,4,"[2116, 4206, 2719, 4158, 1140, 6591, 1934, 12893, 13200, 18943, 27888, 14217, 25171, 28107, 12098, 3989, 3028, 6416, 9082, 14949, 15962, 1417, 12917, 11586, 14263, 9461, 2026, 12893, 1199, 9522, 2610, 25576, 5735, 2486, 14721, 15907, 14287, 1607, 1073, 12089, 15741, 20438, 1845, 3751, 6300, 5676, 28420, 2557, 23805, 20934]","[11, 20, 0, 6, 19, 8, 5, 12, 18, 28, 14, 11, 14, 10, 0, 16, 4, 0, 11, 15, 1, 6, 21, 3, 17, 8, 13, 12, 17, 22, 14, 4, 19, 19, 6, 16, 18, 14, 18, 0, 28, 9, 30, 13, 21, 15, 10, 1, 3, 18]",4.0,7.0,8.0,13.0,12.0,3.0,3.0
문진호,6,"[26170, 2643, 12009, 17264, 17286, 9653, 3040, 10074, 9090, 17232, 28298, 12743, 5051, 3056, 11557, 1063, 10948, 16115, 17078, 27532, 9293, 20113, 17161, 3001, 5896, 4160, 5641, 27375, 18860, 3923, 1131, 8903, 11583, 14603, 25288, 10938, 25638, 3090, 3030, 9360, 20494, 28257, 14916, 17267, 27648, 25581, 1105, 27991, 13301, 26167]","[8, 12, 24, 8, 6, 1, 4, 18, 0, 12, 8, 16, 21, 16, 5, 8, 0, 13, 17, 11, 0, 5, 25, 17, 18, 16, 12, 10, 19, 9, 16, 17, 14, 20, 7, 0, 16, 19, 14, 0, 4, 13, 6, 16, 6, 16, 10, 17, 6, 14]",5.0,5.0,12.0,9.0,16.0,3.0,0.0
박유진,3,"[25581, 2495, 14710, 9360, 27323, 10421, 2483, 23632, 17481, 2076, 10974, 6612, 18227, 20939, 14399, 1750, 9214, 14744, 2629, 8898, 28116, 17120, 24442, 15502, 1002, 1676, 2211, 1348, 2611, 12786, 1948, 19535, 26101, 27451, 5543, 12515, 3961, 21775, 2354, 2209, 24521, 11407, 15913, 25392, 1376, 2252, 1940, 28327, 27441, 1933]","[16, 4, 4, 0, 1, 11, 25, 15, 17, 19, 8, 14, 18, 21, 18, 13, 5, 18, 13, 23, 8, 0, 24, 14, 8, 6, 14, 19, 14, 12, 16, 13, 21, 17, 2, 18, 9, 11, 13, 19, 21, 18, 0, 23, 19, 13, 7, 20, 16, 15]",3.0,5.0,6.0,14.0,15.0,7.0,0.0
이서연,9,"[19571, 26616, 22856, 10867, 18232, 23817, 20211, 17832, 15813, 15677, 2215, 7570, 2448, 14240, 1782, 24433, 1450, 10068, 13707, 16957, 1164, 28329, 28695, 1711, 2138, 25489, 14584, 3699, 9423, 2177, 1490, 13549, 2935, 12918, 6131, 1995, 25313, 3807, 13273, 9241, 5554, 20654, 2301, 7561, 1026, 26009, 1070, 2441, 2652, 18932]","[15, 21, 12, 6, 9, 15, 19, 0, 4, 19, 18, 13, 12, 21, 16, 18, 15, 23, 12, 12, 19, 23, 0, 11, 11, 17, 7, 6, 14, 0, 11, 11, 3, 22, 3, 0, 28, 20, 11, 11, 2, 22, 20, 12, 7, 13, 20, 3, 15, 27]",4.0,5.0,5.0,18.0,10.0,6.0,2.0
이명숙,4,"[24483, 10224, 1515, 13323, 1196, 1252, 22357, 1269, 2468, 26040, 16143, 2180, 11655, 4907, 10777, 2397, 1932, 28123, 13418, 20206, 4161, 23979, 26004, 5484, 1790, 16908, 14274, 12427, 26481, 16120, 26595, 16136, 14468, 1435, 15727, 16458, 15922, 17224, 24523, 17504, 12900, 26153, 2283, 24899, 24053, 2842, 12435, 11899, 27068, 15720]","[9, 22, 8, 23, 22, 4, 17, 7, 10, 3, 19, 16, 5, 13, 18, 18, 10, 20, 13, 10, 15, 19, 3, 19, 11, 19, 17, 19, 30, 12, 6, 19, 7, 14, 1, 11, 11, 5, 9, 6, 15, 12, 14, 27, 11, 17, 9, 8, 16, 6]",0.0,6.0,13.0,12.0,14.0,3.0,2.0
고중수,6,"[25210, 1498, 16859, 11690, 28406, 18131, 12975, 15483, 20118, 1375, 13884, 17280, 1822, 13877, 23046, 10945, 1637, 25208, 14497, 23083, 15987, 15772, 14404, 1609, 24968, 11583, 14879, 24048, 25172, 26599, 20915, 12097, 25319, 1452, 16713, 2283, 26607, 14675, 25173, 1609, 18223, 15313, 3045, 16720, 25959, 27502, 14404, 4148, 1854, 3642]","[14, 17, 22, 13, 22, 16, 15, 13, 13, 14, 10, 15, 7, 4, 19, 0, 17, 13, 12, 11, 19, 13, 0, 17, 21, 14, 0, 16, 17, 15, 9, 0, 11, 0, 9, 14, 13, 10, 15, 17, 12, 21, 18, 10, 19, 13, 0, 13, 17, 0]",7.0,1.0,6.0,20.0,12.0,4.0,0.0
김재현,2,"[17471, 10876, 12172, 10952, 9215, 24270, 16892, 20361, 24727, 27887, 1681, 27471, 1139, 18794, 11440, 2084, 19549, 18938, 6131, 27158, 18258, 10041, 25016, 1886, 28693, 10538, 2284, 1307, 12890, 20044, 21924, 12861, 17101, 20424, 25050, 2060, 3613, 27091, 2785, 12990, 1715, 24044, 22874, 28124, 2953, 1882, 5026, 5696, 2241, 1337]","[12, 21, 10, 1, 7, 12, 21, 3, 13, 17, 4, 18, 15, 27, 16, 14, 26, 25, 3, 24, 7, 5, 21, 21, 16, 20, 17, 17, 19, 7, 12, 15, 21, 19, 16, 22, 8, 22, 9, 20, 12, 22, 25, 21, 3, 16, 4, 13, 16, 7]",0.0,7.0,7.0,9.0,13.0,12.0,2.0
김정식,4,"[10655, 17404, 27507, 9556, 4803, 18938, 25214, 7343, 23315, 3065, 14852, 2724, 27442, 18379, 16395, 10448, 23813, 25628, 13535, 1556, 2026, 11936, 23759, 3985, 1958, 2229, 18794, 14717, 3167, 1707, 5685, 12851, 5393, 27311, 27498, 27983, 10299, 23561, 28326, 24918, 23628, 25013, 3923, 12432, 21565, 2281, 25915, 18796, 28356, 23814]","[8, 12, 21, 17, 12, 25, 7, 14, 22, 0, 12, 18, 16, 22, 6, 5, 4, 2, 0, 18, 13, 16, 14, 5, 13, 11, 27, 6, 13, 12, 0, 12, 8, 11, 13, 3, 0, 9, 18, 26, 5, 24, 9, 0, 20, 13, 3, 26, 8, 8]",5.0,7.0,9.0,14.0,7.0,5.0,3.0
이예지,5,"[2314, 3679, 10978, 17373, 17432, 2416, 10756, 23741, 25596, 4276, 14597, 17222, 3073, 27159, 1586, 15817, 2075, 25580, 27726, 13553, 3181, 22251, 13430, 2603, 25590, 26651, 1406, 1026, 1210, 11568, 11378, 13270, 16990, 20308, 18167, 11797, 16436, 10266, 14917, 28098, 2782, 1117, 27092, 12927, 15305, 3295, 17444, 16684, 1552, 25906]","[12, 17, 14, 20, 13, 18, 22, 12, 12, 13, 11, 17, 18, 3, 18, 11, 9, 14, 15, 20, 4, 11, 16, 17, 16, 11, 9, 7, 20, 9, 18, 9, 17, 18, 23, 20, 18, 17, 0, 17, 18, 11, 22, 7, 23, 19, 22, 17, 10, 10]",1.0,2.0,8.0,13.0,21.0,5.0,0.0
김성수,5,"[25188, 21941, 14620, 3124, 12756, 1103, 9283, 9414, 16718, 1472, 28235, 5405, 16210, 25708, 3026, 13001, 4215, 17296, 12761, 3614, 15723, 17304, 16966, 28276, 5374, 2150, 25173, 11375, 2480, 1130, 25199, 5536, 11778, 15655, 17145, 14697, 2810, 10610, 22948, 1504, 19940, 1002, 14554, 5638, 2893, 1343, 20041, 9204, 1034, 2935]","[13, 12, 9, 14, 3, 14, 0, 7, 26, 0, 1, 13, 12, 10, 20, 0, 21, 7, 10, 13, 10, 19, 25, 17, 17, 16, 15, 17, 2, 21, 17, 13, 15, 8, 21, 4, 5, 7, 14, 12, 11, 8, 15, 10, 17, 6, 16, 10, 12, 3]",3.0,6.0,12.0,15.0,9.0,4.0,1.0
장진우,9,"[28015, 4706, 2742, 19847, 25823, 23634, 1220, 1965, 25328, 20157, 2500, 21968, 2381, 24269, 1253, 17827, 3519, 11691, 9527, 20046, 28418, 13300, 12947, 19291, 1933, 16215, 26100, 16213, 2224, 6523, 1515, 17288, 28684, 1184, 10777, 2450, 19998, 3005, 1181, 2419, 27436, 3096, 12789, 22866, 2976, 16646, 3719, 28120, 3828, 11409]","[9, 3, 2, 14, 14, 16, 19, 9, 8, 11, 19, 8, 13, 15, 12, 9, 0, 21, 14, 12, 8, 4, 11, 20, 15, 22, 21, 19, 12, 14, 8, 5, 19, 16, 18, 14, 24, 9, 6, 20, 7, 12, 8, 13, 14, 27, 21, 16, 16, 18]",1.0,4.0,11.0,16.0,12.0,5.0,1.0
정서윤,7,"[15713, 25551, 17477, 16911, 20424, 16979, 2374, 27949, 28137, 20115, 2158, 9733, 11571, 1581, 11877, 20117, 19573, 14244, 11051, 25619, 24263, 1250, 27310, 27528, 10545, 22982, 22942, 17105, 3049, 13253, 17070, 2336, 23324, 17120, 6300, 27315, 23081, 2639, 13263, 14238, 18792, 16473, 18226, 1560, 20040, 4006, 3647, 1721, 25549, 26039]","[18, 5, 27, 21, 19, 20, 12, 20, 13, 8, 13, 6, 11, 12, 13, 10, 24, 7, 9, 14, 2, 25, 2, 14, 5, 22, 12, 22, 6, 13, 11, 19, 12, 0, 21, 14, 9, 0, 19, 14, 26, 15, 18, 8, 12, 20, 23, 12, 18, 17]",2.0,4.0,8.0,17.0,10.0,7.0,2.0
박준영,8,"[2636, 5819, 9655, 2869, 20165, 24554, 1021, 13319, 20503, 22942, 25396, 6549, 28140, 5557, 9935, 18253, 13544, 9090, 7344, 15802, 21773, 20300, 1541, 1063, 2447, 1835, 13393, 13700, 17503, 2797, 14574, 15934, 14899, 22977, 1175, 28383, 10227, 27731, 2900, 25709, 25045, 27284, 3026, 28071, 17616, 16399, 3763, 1314, 10007, 10262]","[12, 22, 6, 5, 11, 24, 8, 16, 22, 12, 24, 16, 11, 11, 12, 23, 18, 0, 14, 0, 11, 8, 9, 8, 11, 7, 22, 10, 10, 17, 16, 18, 25, 17, 15, 16, 18, 17, 13, 8, 8, 21, 20, 13, 13, 16, 24, 18, 20, 4]",2.0,2.0,10.0,13.0,14.0,9.0,0.0
고예진,1,"[5530, 17838, 1189, 3805, 5568, 13264, 3995, 10710, 18436, 10727, 2999, 25211, 15932, 16484, 2762, 12922, 2435, 3344, 4885, 1659, 1696, 21598, 16910, 26259, 12865, 1348, 12983, 16152, 11054, 17204, 2934, 14076, 20441, 10935, 20536, 3778, 1312, 11501, 9329, 12016, 2019, 11393, 28300, 28692, 20044, 27971, 3254, 17070, 2506, 19953]","[20, 4, 10, 12, 7, 18, 18, 11, 15, 25, 5, 18, 0, 0, 19, 19, 5, 19, 0, 25, 0, 1, 21, 12, 11, 19, 14, 20, 12, 8, 17, 24, 19, 0, 27, 4, 6, 9, 5, 18, 12, 0, 18, 6, 7, 10, 7, 11, 3, 12]",6.0,7.0,9.0,10.0,13.0,4.0,1.0
김영호,6,"[2204, 2494, 2773, 2792, 17504, 1304, 5347, 3179, 14713, 28684, 16121, 25051, 14593, 20935, 1087, 18375, 22877, 1175, 8193, 25316, 14659, 2864, 15990, 10874, 18222, 26608, 17410, 2968, 12944, 3392, 9998, 20123, 17436, 13560, 19238, 14391, 1818, 18893, 1744, 27166, 9226, 3642, 3678, 25407, 13006, 22871, 14398, 2270, 3643, 1553]","[5, 16, 13, 10, 6, 13, 6, 20, 9, 19, 21, 18, 4, 21, 17, 22, 19, 15, 19, 22, 5, 4, 9, 4, 9, 20, 21, 18, 14, 19, 13, 18, 13, 16, 14, 13, 14, 27, 12, 17, 4, 0, 15, 26, 20, 10, 18, 14, 17, 11]",1.0,6.0,7.0,13.0,16.0,5.0,2.0
이예준,10,"[1208, 23348, 4698, 6613, 2362, 10254, 2299, 1960, 10597, 11916, 1491, 23329, 24430, 3077, 6236, 6171, 2601, 28704, 1646, 2042, 16503, 16144, 26262, 1369, 28278, 11753, 20919, 2751, 2475, 21553, 11931, 1375, 28254, 1110, 7347, 2620, 14648, 22935, 1081, 25337, 20951, 10541, 14056, 11916, 11655, 16952, 25823, 17133, 28448, 25289]","[15, 3, 0, 18, 19, 19, 0, 14, 10, 7, 7, 17, 13, 8, 9, 21, 20, 17, 15, 15, 3, 13, 18, 16, 7, 20, 18, 6, 1, 3, 6, 14, 19, 5, 9, 18, 4, 6, 15, 17, 11, 15, 17, 7, 5, 17, 14, 21, 16, 12]",2.0,7.0,11.0,12.0,16.0,2.0,0.0
한영길,6,"[22342, 17292, 24230, 13549, 23321, 5480, 12769, 11958, 12983, 1731, 9437, 1908, 16161, 28245, 27732, 3061, 5698, 23048, 4817, 13325, 1518, 2354, 11781, 11332, 13412, 23720, 20008, 10944, 13923, 1650, 2359, 6987, 25510, 14615, 25330, 12946, 15968, 7140, 3097, 27932, 16214, 3056, 23326, 1981, 4933, 13434, 29196, 18287, 20418, 15982]","[10, 10, 11, 11, 5, 20, 20, 20, 14, 4, 4, 16, 15, 8, 17, 9, 4, 11, 15, 13, 20, 13, 15, 8, 9, 22, 11, 0, 7, 19, 17, 12, 28, 12, 11, 13, 19, 12, 7, 9, 21, 16, 13, 16, 14, 0, 5, 18, 19, 18]",2.0,5.0,9.0,17.0,14.0,2.0,1.0
김정수,6,"[1969, 27730, 2787, 10993, 25953, 1140, 13510, 2897, 23029, 16432, 22859, 17392, 20120, 27066, 3035, 23758, 15506, 5179, 3111, 11283, 14461, 20924, 16927, 28237, 3031, 7788, 14249, 10994, 15721, 9196, 10431, 9295, 24033, 17384, 11950, 28089, 3135, 22113, 25021, 25604, 15955, 20915, 13752, 17397, 20949, 16469, 1478, 28293, 16213, 1512]","[7, 16, 18, 12, 13, 19, 20, 5, 10, 12, 13, 10, 13, 11, 5, 10, 21, 8, 17, 2, 14, 12, 11, 5, 16, 19, 19, 7, 6, 6, 6, 3, 17, 16, 9, 18, 6, 5, 23, 13, 19, 9, 2, 14, 6, 12, 0, 11, 19, 11]",1.0,7.0,13.0,14.0,13.0,2.0,0.0
김영자,2,"[17447, 10846, 14278, 16914, 24389, 23832, 1824, 12880, 3663, 17443, 22859, 9743, 2196, 3366, 2760, 11577, 25796, 14451, 3158, 17399, 2399, 2641, 3943, 16196, 1247, 20293, 13131, 2056, 1145, 3863, 14605, 13884, 26268, 3042, 2808, 2700, 19617, 18133, 16895, 14727, 27901, 15802, 25955, 16220, 24526, 2175, 3682, 2634, 12882, 2057]","[16, 20, 15, 19, 5, 15, 18, 17, 13, 22, 13, 0, 17, 14, 0, 13, 15, 16, 12, 19, 4, 9, 4, 10, 3, 14, 0, 12, 5, 6, 20, 10, 17, 9, 18, 15, 0, 17, 17, 16, 0, 0, 7, 16, 14, 12, 18, 0, 0, 6]",8.0,5.0,7.0,13.0,16.0,1.0,0.0
김준호,9,"[2002, 2066, 19533, 18445, 16112, 4888, 21762, 9012, 11508, 13023, 15653, 24504, 14254, 1163, 2082, 24528, 1457, 20560, 12932, 2117, 14597, 1568, 11414, 10597, 14278, 1130, 23353, 24390, 6300, 14402, 13390, 26127, 15817, 9206, 12748, 15683, 23750, 4592, 12876, 17296, 8393, 2311, 1788, 1562, 16947, 11670, 12970, 20536, 18405, 4217]","[10, 15, 23, 25, 9, 15, 16, 7, 7, 11, 15, 20, 11, 21, 8, 17, 15, 18, 16, 10, 11, 4, 15, 10, 15, 21, 13, 10, 21, 7, 0, 16, 11, 19, 25, 12, 20, 4, 23, 7, 1, 19, 8, 15, 13, 17, 12, 27, 11, 15]",1.0,3.0,11.0,17.0,10.0,7.0,1.0
김현정,1,"[15310, 9069, 1366, 16218, 2421, 24275, 9339, 1669, 2036, 8902, 12424, 9469, 4587, 2545, 13266, 14234, 29007, 19565, 21944, 23050, 27742, 1955, 2615, 19601, 1448, 18857, 26650, 12778, 29332, 24504, 17953, 27971, 23023, 1840, 17088, 11382, 17419, 9463, 2210, 25605, 12850, 18135, 7737, 1000, 15964, 27897, 2660, 1736, 27159, 20210]","[25, 0, 8, 6, 11, 27, 5, 11, 12, 18, 18, 3, 10, 6, 21, 0, 12, 14, 14, 22, 12, 14, 10, 12, 8, 21, 10, 4, 4, 20, 11, 10, 19, 24, 11, 1, 7, 16, 9, 15, 15, 17, 20, 1, 1, 16, 11, 15, 3, 14]",2.0,8.0,10.0,16.0,8.0,5.0,1.0
김숙자,4,"[2461, 16478, 18114, 10726, 13179, 25194, 14594, 27231, 1102, 12902, 12015, 14219, 11094, 13699, 27985, 5502, 23822, 29082, 25913, 15683, 27455, 13540, 14899, 1406, 4929, 10813, 23021, 26266, 1656, 10944, 1445, 2650, 16228, 9249, 20368, 25438, 3034, 11437, 16486, 2105, 24954, 10475, 15642, 2257, 1473, 10843, 18789, 1372, 2200, 14599]","[14, 5, 11, 25, 22, 10, 7, 11, 16, 13, 14, 4, 4, 7, 20, 13, 22, 25, 19, 12, 17, 24, 25, 9, 9, 4, 17, 10, 13, 0, 14, 12, 13, 18, 21, 23, 3, 13, 2, 17, 10, 18, 0, 9, 16, 0, 28, 19, 8, 16]",3.0,6.0,9.0,12.0,11.0,8.0,1.0
김준호,10,"[14271, 13117, 20155, 18377, 15638, 2529, 2075, 12846, 17269, 17122, 2848, 17236, 2335, 14215, 10070, 27447, 2797, 1119, 13134, 16716, 23838, 24395, 14907, 17496, 15485, 17949, 24511, 24453, 27937, 2660, 25014, 17415, 14645, 3177, 5979, 14890, 25194, 8898, 9066, 16122, 20917, 1724, 15890, 8944, 24652, 13535, 2068, 2120, 2958, 1253]","[11, 19, 4, 23, 0, 10, 9, 16, 5, 4, 17, 12, 13, 3, 21, 11, 17, 14, 18, 16, 26, 13, 14, 3, 14, 5, 8, 13, 23, 11, 25, 18, 1, 16, 26, 13, 10, 23, 16, 17, 12, 14, 0, 16, 15, 0, 0, 0, 19, 12]",5.0,7.0,4.0,15.0,12.0,5.0,2.0
박현정,7,"[3988, 2533, 10759, 2842, 1662, 23886, 1132, 25709, 18347, 25385, 2275, 5646, 1531, 12605, 6581, 17161, 13558, 9518, 25244, 27163, 5522, 3970, 13208, 17613, 28353, 27921, 25320, 1557, 2082, 19955, 9421, 1249, 16288, 11648, 2357, 12854, 20135, 2565, 5646, 2662, 3501, 27525, 20156, 19954, 27504, 21317, 10829, 1518, 25687, 11407]","[17, 13, 19, 17, 11, 5, 13, 8, 22, 25, 15, 19, 6, 5, 11, 25, 14, 9, 18, 15, 1, 23, 22, 19, 8, 10, 17, 21, 8, 21, 10, 18, 13, 3, 15, 14, 21, 11, 19, 14, 19, 23, 17, 16, 16, 10, 4, 20, 17, 18]",0.0,5.0,8.0,12.0,16.0,9.0,0.0
고지연,2,"[27441, 28115, 20365, 3054, 2419, 2590, 1345, 15642, 14076, 26126, 2494, 27958, 10950, 15635, 6603, 24499, 1747, 11021, 1784, 27986, 1044, 13532, 27162, 2892, 6101, 17520, 16687, 14622, 11091, 10805, 14654, 10814, 7482, 1847, 7489, 3193, 21610, 24040, 26265, 27983, 23286, 23764, 27284, 18244, 27727, 20009, 3973, 1724, 12918, 22965]","[16, 5, 8, 6, 20, 12, 14, 0, 24, 14, 16, 12, 1, 0, 9, 7, 10, 1, 14, 8, 18, 15, 8, 10, 18, 6, 22, 12, 4, 16, 6, 6, 5, 15, 4, 11, 11, 9, 6, 3, 13, 21, 21, 13, 14, 20, 14, 14, 22, 12]",2.0,7.0,13.0,16.0,7.0,5.0,0.0
차미숙,7,"[24468, 27311, 2715, 14870, 13572, 4673, 11049, 1435, 6594, 2118, 2560, 1029, 20363, 2758, 10931, 2163, 14855, 15561, 10813, 10944, 2309, 11066, 18765, 20308, 2668, 22254, 2982, 12422, 14258, 10413, 23308, 16943, 28117, 17116, 7770, 25967, 2708, 10790, 19847, 1110, 1540, 1987, 24466, 28258, 1969, 1636, 15351, 12428, 17428, 1689]","[8, 11, 12, 22, 23, 6, 13, 14, 14, 11, 13, 15, 7, 12, 0, 5, 12, 20, 4, 0, 5, 13, 19, 18, 11, 13, 14, 0, 16, 19, 18, 10, 10, 0, 4, 15, 13, 26, 14, 5, 13, 12, 12, 14, 7, 12, 4, 19, 16, 12]",4.0,6.0,6.0,23.0,8.0,2.0,1.0
강옥자,3,"[19577, 3944, 24727, 10072, 1709, 27439, 15882, 13544, 12953, 12935, 15923, 14859, 25015, 25543, 1455, 17949, 15888, 1654, 3998, 17834, 26087, 16461, 28446, 2856, 5086, 9043, 1873, 22238, 25904, 23637, 20149, 20932, 3688, 24039, 7787, 2739, 9252, 4781, 5397, 17611, 17278, 5176, 1148, 18407, 25920, 3980, 26524, 24513, 19547, 1504]","[16, 9, 13, 13, 9, 14, 15, 18, 0, 16, 3, 19, 26, 13, 10, 5, 9, 9, 24, 15, 16, 10, 7, 0, 3, 0, 21, 11, 3, 19, 17, 17, 14, 6, 17, 1, 12, 12, 9, 14, 0, 4, 11, 18, 15, 11, 10, 13, 23, 12]",4.0,6.0,10.0,16.0,10.0,3.0,1.0
구준혁,1,"[9552, 22878, 23044, 14626, 18170, 12847, 6986, 1225, 17428, 28160, 1410, 16430, 2841, 11402, 16194, 3653, 5695, 28432, 16213, 1471, 23043, 14939, 11918, 1260, 10423, 1145, 2581, 10824, 7040, 2319, 3015, 2101, 1942, 28089, 3881, 22987, 10881, 10886, 7348, 2062, 16682, 17831, 1482, 3033, 27923, 10840, 14850, 2114, 12022, 2245]","[17, 20, 16, 5, 13, 8, 8, 4, 16, 21, 17, 1, 10, 16, 10, 17, 18, 6, 19, 17, 18, 16, 12, 9, 14, 5, 4, 3, 20, 16, 16, 0, 4, 18, 16, 20, 12, 3, 8, 15, 21, 16, 19, 18, 12, 15, 27, 0, 20, 15]",2.0,8.0,7.0,8.0,22.0,2.0,1.0
김은주,3,"[9627, 7772, 17830, 14890, 25578, 25616, 20562, 28115, 1069, 2437, 2904, 18808, 19619, 9496, 14593, 26525, 1142, 12919, 9203, 15873, 17386, 7344, 2715, 28237, 10907, 25554, 3752, 10427, 2185, 12955, 16159, 27949, 26274, 11896, 27314, 4348, 2657, 1097, 27931, 12346, 2417, 18116, 14941, 22354, 12287, 14606, 9084, 25633, 3118, 14905]","[8, 22, 12, 13, 15, 19, 19, 5, 13, 14, 13, 13, 22, 18, 4, 14, 17, 11, 13, 2, 13, 14, 12, 5, 18, 17, 22, 11, 19, 17, 10, 20, 24, 5, 13, 19, 0, 16, 8, 0, 7, 12, 14, 19, 16, 6, 11, 10, 0, 13]",3.0,5.0,6.0,19.0,13.0,4.0,0.0
박유진,9,"[26040, 15816, 13422, 1179, 6209, 17948, 6987, 21730, 11116, 14884, 17491, 5037, 25633, 11933, 25707, 16217, 24460, 11583, 3343, 3204, 11399, 26075, 12855, 10707, 13546, 25406, 2046, 3165, 20925, 28365, 17403, 23823, 2204, 1890, 17227, 9520, 12968, 25491, 14258, 28062, 12144, 16505, 2643, 24508, 2082, 2383, 17135, 23578, 11777, 11507]","[3, 17, 12, 19, 13, 18, 12, 22, 6, 19, 13, 18, 10, 22, 6, 21, 8, 14, 12, 19, 7, 12, 19, 3, 22, 17, 0, 13, 14, 23, 17, 11, 5, 10, 18, 17, 9, 19, 16, 4, 21, 9, 12, 11, 8, 0, 13, 16, 20, 7]",2.0,4.0,10.0,13.0,15.0,6.0,0.0
윤예준,4,"[25461, 1618, 1815, 20304, 23062, 15978, 2198, 15776, 14550, 4160, 3990, 23089, 2215, 23303, 16975, 17433, 10835, 4243, 6502, 12846, 21777, 7612, 11493, 28126, 1798, 27925, 24523, 28246, 18249, 14617, 2993, 14563, 7682, 4161, 15994, 25611, 24955, 3204, 10714, 24057, 27897, 2699, 1002, 23033, 12921, 5012, 14619, 2155, 17397, 2441]","[20, 0, 0, 16, 17, 24, 0, 20, 11, 16, 22, 17, 18, 3, 17, 11, 11, 18, 4, 16, 15, 0, 20, 9, 15, 13, 9, 23, 9, 15, 6, 4, 11, 15, 21, 22, 12, 19, 14, 9, 16, 16, 8, 13, 20, 17, 13, 12, 14, 3]",4.0,4.0,6.0,15.0,16.0,5.0,0.0
서진우,4,"[1888, 2899, 12936, 13256, 2585, 13756, 19568, 4195, 12885, 22251, 17503, 3117, 10995, 14335, 15735, 1948, 1447, 3047, 13903, 3456, 15482, 2764, 1705, 1696, 23805, 11101, 1701, 2034, 13209, 1590, 14390, 1843, 18186, 3910, 16172, 17625, 13333, 5704, 27448, 9614, 14742, 16923, 9009, 11280, 21739, 16857, 3164, 2933, 1167, 19601]","[13, 21, 22, 16, 14, 24, 19, 14, 17, 11, 10, 15, 3, 13, 8, 16, 0, 3, 10, 20, 11, 16, 0, 0, 3, 8, 13, 7, 18, 7, 20, 13, 22, 13, 4, 24, 6, 4, 13, 16, 20, 9, 10, 17, 14, 24, 12, 15, 14, 12]",3.0,5.0,9.0,16.0,11.0,6.0,0.0
김성민,8,"[5681, 15909, 27236, 2118, 18442, 2142, 24544, 2658, 2068, 10561, 9015, 12740, 28475, 12857, 25044, 16207, 4003, 11945, 4798, 13925, 12431, 26126, 25683, 22945, 28293, 10436, 3462, 14272, 3080, 16956, 29259, 24236, 25703, 2977, 23635, 28020, 16853, 11881, 9610, 1898, 22852, 2989, 14632, 16233, 1429, 25823, 10470, 10812, 5874, 10179]","[15, 18, 22, 11, 9, 15, 4, 15, 0, 17, 15, 20, 15, 19, 7, 13, 22, 2, 20, 20, 0, 14, 10, 12, 11, 12, 15, 22, 19, 8, 21, 19, 3, 15, 0, 17, 18, 12, 3, 14, 19, 18, 17, 15, 14, 14, 22, 4, 8, 3]",3.0,6.0,5.0,18.0,13.0,5.0,0.0
